$C:\ProgramData\Zwick\testXpert III\data\Test Method\compression test RT_Copper_20012025.zs2
Pre-load                                25 N
Test speed                              1 mm/min
Type of compression modulus determinatioRegression
$
  Compressive strain;      Standard force;Absolute crosshead t
  1.119149178267e-01;  3.201602172852e+02; -7.619207610837e+01
  1.120017915964e-01;  3.218825683594e+02; -7.619198923460e+01
  1.120830923319e-01;  3.235488281250e+02; -7.619190793387e+01
  1.121638044715e-01;  3.252513427734e+02; -7.619182722173e+01
  1.122470498085e-01;  3.269560241699e+02; -7.619174397639e+01
  1.123309135437e-01;  3.286773071289e+02; -7.619166011265e+01
  1.124106720090e-01;  3.303118896484e+02; -7.619158035419e+01
  1.124927178025e-01;  3.318761901855e+02; -7.619149830839e+01
  1.125784218311e-01;  3.335096740723e+02; -7.619141260437e+01
  1.126631721854e-01;  3.351854553223e+02; -7.619132785401e+01
  1.127456501126e-01;  3.368997192383e+02; -7.619124537608e+01
  1.128259226680e-01;  3.385330810547e+02; -7.619116510353e+01
  1.129097566009e-01;  3.401424560547e+02; -7.619108126960e+01
  1.129953265190e-01;  3.417663269043e+02; -7.619099569968e+01
  1.130814552307e-01;  3.434166870117e+02; -7.619090957097e+01
  1.131628081203e-01;  3.451079101563e+02; -7.619082821808e+01
  1.132427081466e-01;  3.467898864746e+02; -7.619074831805e+01
  1.133222281933e-01;  3.485309753418e+02; -7.619066879800e+01
  1.134050413966e-01;  3.502754821777e+02; -7.619058598480e+01
  1.134892329574e-01;  3.520497741699e+02; -7.619050179324e+01
  1.135759279132e-01;  3.537804260254e+02; -7.619041509828e+01
  1.136635243893e-01;  3.555191040039e+02; -7.619032750181e+01
  1.137456968427e-01;  3.573108215332e+02; -7.619024532935e+01
  1.138268709183e-01;  3.591144104004e+02; -7.619016415528e+01
  1.139089763165e-01;  3.609163513184e+02; -7.619008204988e+01
  1.139932870865e-01;  3.626654052734e+02; -7.618999773911e+01
  1.140759289265e-01;  3.644371337891e+02; -7.618991509727e+01
  1.141622811556e-01;  3.662303161621e+02; -7.618982874504e+01
  1.142476275563e-01;  3.680147094727e+02; -7.618974339864e+01
  1.143300533295e-01;  3.697706298828e+02; -7.618966097287e+01
  1.144156455994e-01;  3.715052795410e+02; -7.618957538060e+01
  1.144981533289e-01;  3.732850952148e+02; -7.618949287287e+01
  1.145763769746e-01;  3.750723571777e+02; -7.618941464922e+01
  1.146586760879e-01;  3.768644714355e+02; -7.618933235011e+01
  1.147443726659e-01;  3.785993041992e+02; -7.618924665353e+01
  1.148297488689e-01;  3.803263244629e+02; -7.618916127733e+01
  1.149117574096e-01;  3.820872497559e+02; -7.618907926879e+01
  1.149946376681e-01;  3.837951049805e+02; -7.618899638853e+01
  1.150776967406e-01;  3.855225524902e+02; -7.618891332946e+01
  1.151588708162e-01;  3.872234497070e+02; -7.618883215538e+01
  1.152403727174e-01;  3.889837951660e+02; -7.618875065348e+01
  1.153245568275e-01;  3.907409057617e+02; -7.618866646937e+01
  1.154084429145e-01;  3.925339660645e+02; -7.618858258328e+01
  1.154934391379e-01;  3.943862609863e+02; -7.618849758706e+01
  1.155774965882e-01;  3.962227783203e+02; -7.618841352961e+01
  1.156607791781e-01;  3.981259460449e+02; -7.618833024702e+01
  1.157464832067e-01;  4.000356140137e+02; -7.618824454299e+01
  1.158298403025e-01;  4.019546508789e+02; -7.618816118589e+01
  1.159133985639e-01;  4.038142395020e+02; -7.618807762763e+01
  1.159970313311e-01;  4.056834716797e+02; -7.618799399487e+01
  1.160792335868e-01;  4.075377807617e+02; -7.618791179261e+01
  1.161610186100e-01;  4.094293823242e+02; -7.618783000759e+01
  1.162453666329e-01;  4.112852172852e+02; -7.618774565956e+01
  1.163313537836e-01;  4.130586242676e+02; -7.618765967241e+01
  1.164117977023e-01;  4.148490295410e+02; -7.618757922849e+01
  1.164949014783e-01;  4.166081848145e+02; -7.618749612472e+01
  1.165781766176e-01;  4.184299011230e+02; -7.618741284958e+01
  1.166605576873e-01;  4.202792968750e+02; -7.618733046851e+01
  1.167450174689e-01;  4.220928039551e+02; -7.618724600873e+01
  1.168276593089e-01;  4.239786987305e+02; -7.618716336689e+01
  1.169129088521e-01;  4.258956604004e+02; -7.618707811735e+01
  1.169940829277e-01;  4.277828674316e+02; -7.618699694327e+01
  1.170794740319e-01;  4.296705017090e+02; -7.618691155217e+01
  1.171647533774e-01;  4.316238708496e+02; -7.618682627282e+01
  1.172482669353e-01;  4.335594177246e+02; -7.618674275926e+01
  1.173296347260e-01;  4.354987182617e+02; -7.618666139147e+01
  1.174104660749e-01;  4.373397521973e+02; -7.618658056012e+01
  1.174964457750e-01;  4.392197265625e+02; -7.618649458042e+01
  1.175805032253e-01;  4.411778869629e+02; -7.618641052297e+01
  1.176619455218e-01;  4.430764160156e+02; -7.618632908068e+01
  1.177449300885e-01;  4.449418334961e+02; -7.618624609611e+01
  1.178264394403e-01;  4.468229064941e+02; -7.618616458676e+01
  1.179092079401e-01;  4.486928710938e+02; -7.618608181826e+01
  1.179933175445e-01;  4.505126342773e+02; -7.618599770865e+01
  1.180788576603e-01;  4.523894958496e+02; -7.618591216854e+01
  1.181608214974e-01;  4.542788085938e+02; -7.618583020470e+01
  1.182405874133e-01;  4.561763916016e+02; -7.618575043878e+01
  1.183227151632e-01;  4.580295410156e+02; -7.618566831103e+01
  1.184089556336e-01;  4.599350280762e+02; -7.618558207056e+01
  1.184902787209e-01;  4.618989562988e+02; -7.618550074748e+01
  1.185714378953e-01;  4.638732604980e+02; -7.618541958830e+01
  1.186568960547e-01;  4.658143005371e+02; -7.618533413014e+01
  1.187432929873e-01;  4.676766357422e+02; -7.618524773321e+01
  1.188259795308e-01;  4.696750488281e+02; -7.618516504667e+01
  1.189091429114e-01;  4.716138916016e+02; -7.618508188329e+01
  1.189920157194e-01;  4.736002502441e+02; -7.618499901048e+01
  1.190771833062e-01;  4.756051940918e+02; -7.618491384289e+01
  1.191624850035e-01;  4.776471862793e+02; -7.618482854119e+01
  1.192440018058e-01;  4.796385498047e+02; -7.618474702439e+01
  1.193280294538e-01;  4.816442565918e+02; -7.618466299674e+01
  1.194110438228e-01;  4.837316894531e+02; -7.618457998237e+01
  1.194928064942e-01;  4.858107299805e+02; -7.618449821970e+01
  1.195778399706e-01;  4.879673461914e+02; -7.618441318623e+01
  1.196620613337e-01;  4.899385375977e+02; -7.618432896486e+01
  1.198034659028e-01;  4.919036560059e+02; -7.618418756029e+01
  1.198657974601e-01;  4.938363952637e+02; -7.618412522874e+01
  1.199127957225e-01;  4.957929687500e+02; -7.618407823047e+01
  1.199796199799e-01;  4.977839965820e+02; -7.618401140622e+01
  1.200577169657e-01;  4.998141784668e+02; -7.618393330923e+01
  1.201428845525e-01;  5.018050842285e+02; -7.618384814164e+01
  1.202310547233e-01;  5.036627502441e+02; -7.618375997147e+01
